"","doc_id_number","text"
"1",20022528,"Title: Musharraf, Vajpayee carry enmity to SAARC banquet.rtf; Date: January 4, 2002 Friday 200201041329; Text: The leaders of India and Pakistan, which have massed troops along their borders, put their mutual enmity to public gaze Friday night during a palace dinner hosted for seven South Asian leaders gathering in Nepal for a summit meeting.
President Gen. Pervez Musharraf of Pakistan and Prime Minister Atal Bihari Vajpayee of India did not shake hands nor did they greet each other during a group photo session prior to the banquet hosted by Nepalese King Gyanendra.
Musharraf and Vajpayee stood on the extreme left and the extreme right of King Gyanendra. After the photo session, Vajapyee looked straight and entered the banquet hall, followed by Maldivian President Maumoon Abdul Gayoom and then Musharraf.
Indian External Affairs Ministry spokeswoman Nirupama Rao said Friday Vajpayee has no plans to meet bilaterally with Musharraf during the South Asian summit.
'There are no indications of bilateral meetings between India and Pakistan so far,' Rao said.
Rao said it is not that India has closed the doors to talks with Pakistan, 'It is just that the atmosphere is not conducive for bilateral talks.'
She also ruled out bilateral talks at foreign ministers' level between the two countries for the present.
Musharraf told reporters shortly after arriving in Kathmandu on Friday evening that he would not seek a meeting with Vajpayee in the Nepalese capital as 'there can be talk only if there is willingness on the two sides.'
'You cannot have a one-sided dialogue,' he added.
Pakistani presidential spokesman Major Gen. Rashid Qureshi said the seven government leaders will retreat for a few hours Saturday afternoon to a hotel, giving them an opportunity to interact and meet each other on the sidelines of the South Asian Association for Regional Cooperation (SAARC) summit.
The duration of the seven-nation summit, originally scheduled to start Friday afternoon, has been reduced from three to two days due to the delay in Musharraf's arrival from Beijing.
Summit sources said Musharraf was originally due in Kathmandu by Friday noon but his flight from China was delayed by fog. He flew to Nepal via China because India has banned Pakistani aircraft flights over its territory as part of measures taken since the Dec. 13 attack on the Indian parliament.
India has accused two Pakistan-based militant groups of staging the attack, and Indian and Pakistan forces have been massing along the so-called Line of Control in the divided territory of Kashmir and along their international border.
SAARC officials said the inaugural session of the 11th SAARC summit has been postponed until 10 a.m. Saturday.
SAARC -- comprising Bangladesh, Bhutan, India, the Maldives, Nepal, Pakistan and Sri Lanka -- was formed in 1985 to promote regional cooperation and economic development.
The spiraling tension between India and Pakistan is expected to overshadow other issues discussed among the leaders in Kathmandu.
The 11th summit was originally scheduled to be held in Kathmandu in November 1999. But it was postponed at the request of India, which was unwilling then to share the platform with Musharraf, who had taken power in a military coup a few months earlier. The two countries' forces clashed in the Kargil area of the disputed territory of Kashmir that same year.
At the summit, the leaders are expected to approve a report on measures to combat terrorism and sign two conventions -- one on promoting child welfare and the other on cooperation in combating crimes against trafficking of women and children for prostitution.
The summit is expected to yield a pledge to finalize the draft framework for the free trade zone by the end of this year.
Load-Date: January 5, 2002
End of Document"
"2",20022577,"Title: British Defence chief visits Nepal army barracks.rtf; Date: May 27, 2002 Monday; Text: British Defence chief visits Nepal army barracks.rtf"
"3",20022286,"Title: Shedding a bloody past, Cambodia regains domestic stability and place in the world.rtf; Date: NA; Text: Teenagers with no memories of war or terror stroll at sunset along a riverfront where French-style cafes and pushcart vendors now flourish.
Nearby, foreign tourists, their numbers swelling, swim and dine at the posh Cambodiana Hotel, mostly unaware that it once sheltered desperate, starving refugees.
Elsewhere, French colonial buildings boast a fresh coat of paint and potholed streets a new, smooth surface. That's thanks to Cambodia's hosting of what is billed as the largest international gathering in its history.
The 10-member Association of Southeast Asian Nations, or ASEAN, meets with four key partners - China, Japan, South Korea and India - for a three-day summit beginning Sunday.
Official Cambodia - and others, too - say the event shows the country is taking its place in the international community after nearly three decades of isolation, war and the bloody Khmer Rouge revolution.
""We have to regain our place in the world. What we try to do is reinject into our image Cambodia as a nation of peace, political stability, a tourist destination and an attractive place for foreign investment,"" says Chem Widhya, a senior Foreign Ministry official.
The clash of armed troops was last heard five years ago during a coup by current Prime Minister Hun Sen. Since then, political stability has been largely restored, and the economy saw 7 percent growth in its gross domestic product over the past three years.
More than 700,000 foreigners will have visited Cambodia by the end of the year, compared with 186,000 in 1998. Further increases are expected soon, especially at the temples of Angkor in northwest Cambodia.
The capital of Phnom Penh buzzes, its languid charm replaced by feverish enterprise and a yearning to be globally connected.
There are DJs from Paris, Nepalese curries, American-style fast food and an Australian-run wine bar in the city of more than 1 million people. Private schools teaching computer skills and English are a major industry.
""Cambodia has come a long way in the last decade. Key reforms are being introduced. The foundations of a market-based economy are being put in place,"" says Urooj Malik, who heads operations of the Asian Development Bank in Cambodia.
But there's still a long way to go. Some 36 percent of the country's mostly rural 8.5 million people live on less than $1 a day and a great, potentially dangerous gap exists between Phnom Penh's rich elite and the impoverished villagers. The average Cambodian male dies at 57.
The economy continues to be mostly dependent on foreign aid - about $3.6 billion over the last decade. And while impressive laws and plans for streamlining the government have been set down, corruption, vested interests and a shaky bureaucracy make implementation difficult.
""Cambodia has reached a crossroads - the question now will be enforcement of legislation,"" Malik said. ""Painful decisions need to be made.""
Cambodia lost its once-respected role on the world stage in 1970. That year, the U.S.-backed government began fighting the communist Khmer Rouge, who triumphed five years later and instituted a reign of terror.
A generation of intellectuals and technocrats was decimated and Phnom Penh, once known as the Paris of the East, became a ghost town.
A Vietnamese invasion followed in late 1979, then a civil war. In the early 1990s, the country began its slow groping toward domestic recovery and ties with the outside.
Now, Cambodia, which joined ASEAN in 1999, is seeking greater economic and political integration with its neighbors and hopes to join the World Trade Organization by 2015.
But among the still-teeming poor, the outlook is less rosy and many argue that Cambodia has not yet come of age.
Phol Phea, a 38-year-old farmer who recently came to Phnom Penh looking for odd jobs, said he heard the conference was about cutting down poverty, but he did not expect anything would change for him.
""It is irrelevant to us because we can hardly find rice to eat each day,"" he said.
Graphic
 
AP Photos PHN104-107
Load-Date: November 3, 2002
End of Document"
"4",2002542,"Title: Suspected Maoist bomb in Nepal wounds 24.rtf; Date: March 29, 2002 Friday; Text: At least 24 people were wounded in Nepal Friday when a bomb planted by suspected Maoist rebels exploded in the heart of Kathmandu, police said.
The bomb was planted on a bridge over the river Bishnumati which flows through the city, around three kilometres (two miles) from the royal palace.
The wounded included a number of children who were on their way to school and police said some of the wounded were in a serious condition.
Another bomb went off in the Dhapashi area on the outskirts of Kathmandu, but no one was hurt, police said.
Load-Date: March 29, 2002
End of Document"
"5",2002201,"Title: Rogue elephant on killing spree tramples another man before being shot dead by hunter.rtf; Date: June 25, 2002 Tuesday; Text: A government-appointed hunter Tuesday killed a frenzied elephant that had crushed to death 13 villagers in two days along the India-Nepal border, officials said.
The elephant, which had killed 12 people since Sunday night, trampled over another villager Tuesday, hours before being shot, officials said.
Amarjit Chauhan had to fire five rounds to bring down the female elephant, in the dense forests of Giridhara in West Bengal state, said Jogesh Burman, the state's wildlife minister. The hunter had scoured the jungles near Nepal for the elephant, he said.
The elephant had several injuries on her back, he added.
""The elephant seemed to have been attacked by poachers. Otherwise she would not have turned so violent,"" he told reporters.
The elephant killed nine people in an Indian border village on Sunday, and three more after crossing over into Nepalese territory. It had apparently come from a forest in Nepal, swimming across a river before reaching the Indian village about 380 miles north of Calcutta, the capital of West Bengal state.
The state government then declared it a ""rogue"" and ordered police and hunters to kill it.
Load-Date: June 26, 2002
End of Document"
"6",20021890,"Title: Four Maoists shot dead in Nepal.rtf; Date: January 26, 2002 Saturday; Text: Nepalese security forces gunned down four Maoist rebels, two of them women, defence ministry sources said Saturday.
Three of the Maoists were killed by the army in a battle Friday in the western district of Gorkha, while the other died in an exchange of fire with security personnel in Myagdi district.
Defence ministry officials said more Maoists may have died in the encounters.
Fifty Maoists surrendered and 20 more were arrested after the clashes, the sources said.
More than 2,300 people have been killed since the Maoists launched their ""people's war"" in 1996 to topple Nepal's constitutional monarchy.
The rebels broke a four-month ceasefire in November after three rounds of talks with the government failed to yield a breakthrough.
Load-Date: January 27, 2002
End of Document"
"7",20021185,"Title: Large amount of drugs seized in Nepal.rtf; Date: August 17, 2002, Saturday; Text: KATHMANDU, Aug. 17 (Xinhua) -- The Nepali police has discovered 285 kilograms of hashish hidden in a truck in central Nepal, the state-run Radio Nepal reported Saturday.
The hashish valued more than 280 million Nepali rupees (about 3. 6 million US dollars) was seized by the police Thursday night from a truck that was involved in a head-on collision with another truck on a high way in Dhadhing district in central Nepal, the radio quoted an unnamed police officer as saying.
""The drugs, compressed by machine and rapped in white plastic wrappings, were packed in 17 sacks concealed in a false bottom of the truck's hood,"" the police officer said, adding that ""The police are searching for the truck driver and his crew who immediately fled the scene of the accident and are still at large. ""
Preliminary investigation into the case suggests that the truck, usually used to carry sand from Dhadhing district to Kathmandu, could have been used before by the anti-government guerrillas to transfer drugs from the surrounding areas to India. Because some documents recovered from the truck reveal that the anti-government guerrillas could have been involved in trying to smuggle the drugs to finance their insurgency, he noted.
Load-Date: August 18, 2002
End of Document"
"8",20021296,"Title: King appeals for unity as Nepal enters New Year faced with Maoist threat.rtf; Date: April 14, 2002 Sunday; Text: King Gyanendra called Sunday for unity among Nepalese and strong political leadership amid a rising Maoist insurgency, in a message for the kingdom's traditional New Year.
""Time has now come for the Nepalese people to face the challenge boldly and unite among themselves to widen the base of mutual confidence and understanding through democratic exercise,"" the king said.
""We should not forget that the Nepalese themselves are the bedrock of any polity and the only catalyst of change,"" he said.
Referring to the six-year insurgency of the Maoists, who want to topple the constitutional monarchy, the king said: ""Continued violence and destruction of development infrastructure in the country have left the Nepalese economy in shambles.""
Gyanendra urged Nepal's political leaders ""to ensure for the people lives of dignity to be lived in peace, security and under good governance.""
The Maoists launched the deadliest offensive of their rebellion Friday, overrunning three police posts in the southwestern district of Dang in clashes that left dead at least 164 people.
More than 3,000 people have died since the start of the Maoist insurgency, more than a third of them since the rebels broke a four-month ceasefire in late November.
Prime Minister Sher Bahadur Deuba said the government ""has placed security matters at the top of its priority list.""
""Rooting out terrorism and maintaining peace is its (the government's) prime responsibility,"" he said in his message for the Nepalese year 2059.
""The Maoists have made the common people's lives miserable, apart from destroying the country's economic infrastructure such as drinking water projects, bridges, power projects and electricity sub-stations.""
Meanwhile, several thousand demonstrators, including actors and other artists, held a march in Kathmandu pleading for peace in the New Year.
They held up placards reading, ""Disturbance and turmoil lead the nation to destruction!"" and ""Peace will lead the country to prosperity!""
Nepal's main parliamentary opposition, the Nepal Communist Party-United Marxist and Leninist, Saturday called on Deuba to resume talks with the Maoists unconditionally.
But the government insists the rebels must first lay down their arms.
Three rounds of peace talks between Deuba's government and the Maoists last year ended in stalemate, mostly over rebel demands that the monarchy be scrapped.
Load-Date: April 15, 2002
End of Document"
"9",20021311,"Title: Floods Disrupt India 's Northeast.rtf; Date: August 15, 2002 Thursday; Text: LAHORIGHAT, India - The flooded Brahmaputra River has cut a vicious swath through India's remote northeast, killing hundreds of people, leveling homes, washing away schools and leaving millions homeless.
Arun Kalita's village, Sootea in Assam state, was swept away, and he now lives with his wife and four children in a tarpaulin-roofed riverbank shelter in this rain-drenched town, depending on government handouts to stave off hunger for himself, his wife and his children.
Kalita is one of the lucky ones - he and his family survived. But he's haunted by the memory of the home he lost.
""We just kept watching from a distance and could do nothing,"" said Kalita, 57, his voice choked with emotion. ""My home now lies on the river bed.""
Annual monsoon flooding has wreaked havoc across South Asia, killing more than 900 people in India, Bangladesh and Nepal since June and displacing or trapping about 25 million more.
Some of the most isolated victims are here in Assam, along the rugged foothills of the Himalayas. At least 39 people have died and nearly a quarter of the state's 26 million residents are now homeless.
After two weeks of destruction, the rains have slowed and the floodwaters have started receding in much of Assam. But the monsoon-driven weather is unpredictable, and officials worry that intense rains could begin again, raising the water level and bringing more flooding.
This is the way it often goes with the monsoons. Intense rains are drenching some parts of South Asia while other regions are slowly drying out and still others - including 12 states in India - are facing one of the worst droughts in years.
In all, monsoon floods have killed at least 323 people in India, according to official estimates.
Another 157 people have died in neighboring Bangladesh. Water levels in the Ganges, Brahmaputra and Jamuna rivers, which had receded last week, began rising again Wednesday following fresh downpours in the country's north, officials there said.
But the highest death toll has been in the Himalayan kingdom of Nepal, where at least 424 people have either been swept away by swirling floodwaters or crushed under mudslides in remote mountain villages.
Relief officials throughout South Asia are now trying to prevent waterborne diseases such as diarrhea and typhoid, which are deadly in impoverished regions.
When the waters come, their destruction is often absolute. In recent days in eastern India, a postman was swept away, a 7-year-old boy drowned and two men died when their boat sank in the Gandak River.
An overflowing river is now threatening to inundate low-lying areas around Patna, the populous capital city of Bihar state, relief officials said Thursday.
In Assam, thousands of stranded people have started returning to their ruined villages, hoping to rebuild their homes and begin their lives afresh.
The monsoon rains last until late September in this part of India, and with the government lacking the resources to build dams, it is flooded nearly every year.
""There is still some hope for those who have their homes intact. But for the families whose homes have been completely washed away by the floodwaters, life will have no meaning unless the government provides land and money,"" said Dandi Nath Saikia, headman of Sootea village.
It's the same story for thousands of villages along the Brahmaputra River, which originates in China's Tibet region as the Tsangpo, flows down nearly 500 miles across the Assam plains and into Bangladesh before spilling into the Bay of Bengal.
For hundreds of thousands of people, the river offers livelihood for six months a year. They earn their livings ferrying people from one village to another in mechanized boats, or trading in vegetables and fish.
But with the monsoon rains, the river becomes a destroyer.
In Boralimari, another Assam village, an elder gestures to a spot covered with a small body of water.
""Look, that is the place where our village high school and junior school stood,"" said Aminul Islam. Now, there is no trace of the buildings.
Mizanur Rahman, a farmer living on a mud embankment in the village of Rowmari, accepts the monsoon misery as part of life.
""I have nowhere else to go,"" he said. ""I hate the floods that come almost every year, but I have to live with it.""
Load-Date: August 16, 2002
End of Document"
"10",20021080,"Title: India seeks to pressure Pakistan at South Asia summit.rtf; Date: January 2, 2002 Wednesday; Text: India was looking to sustain diplomatic pressure on Pakistan as the crisis triggered by a military build-up on their common border moved Wednesday into the multilateral arena at a South Asia regional conference in Nepal.
India's Jaswant Singh flew to Kathmandu for a two-day meeting of foreign ministers from the seven members of the South Asian Association for Regional Cooperation (SAARC), ahead of a full leadership summit beginning Friday.
Shortly after his arrival in the Nepalese capital, Singh offered prayers at a temple dedicated to Shiva, the Hindu god of destruction.
The summit will attract keen international attention given spiralling military tensions on the Indo-Pakistan border, which have seen the two nuclear rivals teeter on the brink of a full-scale war.
The border stand-off followed last month's attack on the Indian parliament, which New Delhi has blamed on Pakistan-based militant groups acting at the behest of Pakistani military intelligence.
While denying any involvement, Islamabad has cracked down on the militant groups identified by New Delhi, and there are hopes that the SAARC meeting will provide an opportunity for both countries to further ease tensions.
India, however, has so far refused to commit to bilateral talks at any level in Kathmandu, insisting that Pakistan must first take further ""counter-terrorist"" measures.
The international community has called on both countries to exercise restraint and analysts say India's opposition to dialogue is aimed at forcing more concessions from Pakistan via pressure from Washington.
India has ensured that terrorism will top the agenda in Kathmandu and will lay out its case against Pakistan as a sponsor of ""cross-border terrorist activity.""
While India has ruled out a one-to-one meeting between Prime Minister Atal Behari Vajpayee and Pakistan President Pervez Musharraf on the summit sidelines, it has left the door open to possible talks at the foreign minister level or below.
""Talks between political leaders below the summit level would be a wise strategy, provided that they do not raise unnecessary expectations or unwarranted rhetoric,"" The Indian Express said in an editorial.
""The politico-diplomatic offensive by India against terrorism requires that now Pakistan has started to take steps against terrorist organisations … we give them time to move further.""
One possible sticking point is a list of 20 wanted ""terrorists and criminals"" India handed to Pakistan this week, demanding they be arrested and extradited.
""This list is very important,"" Home Minister L.K. Advani told AFP on Tuesday, adding that Islamabad needed to ""continue to take vigorous anti-terrorist actions.""
But Pakistan insists that without evidence, it cannot take action against the alleged militants.
Pakistan's Foreign Minister Abdul Sattar was quoted by The Nation newspaper as saying Islamabad would consider the extraditions under the SAARC Anti-Terrorism Convention if India takes steps to formally indict the suspects on the list.
The two countries have no bilateral extradition treaty and Sattar described the issue as being legal rather political in nature.
Indian Defence Minister George Fernandes said the crisis was, for the moment at least, being dealt with on the diplomatic rather than the military front.
""Essentially, diplomacy is still working,"" Fernandes said.
But while the neighbours have appeared to be backing away from military conflict, shells have continued to pound both sides of the frontier dividing the disputed Himalayan state of Kashmir.
Indian and Pakistani troops exchanged mortar and heavy machine-gun fire in two areas of southern Kashmir overnight Tuesday, but there were no reports of any casualties.
Sattar had complained in Kathmandu on Tuesday that there had been no Indian response to Islamabad's repeated offer of talks at any level.
""There is no indication of any kind of meeting,"" Sattar said.
Load-Date: January 2, 2002
End of Document"
