"","doc_id_number","text"
"465",2003303,"Title: After Nepal Killings, a Tough King Gets U.S. Backing.rtf; Date: August 4, 2003 Monday; Text: Late Edition - Final 
This fairy tale kingdom gone awry, perched among the world's most spectacular mountains, is once again seething with intrigue and rumor, caught in dramas involving its monarchy, its striving for democracy and outside powers. 
     Two years ago Nepal was shaken to its core when the royal family was all but wiped out in a murky attack that was officially attributed to Crown Prince Dipendra, who also died. Now the country is wondering whether an unsteady six-month cease-fire with Maoist guerrillas can survive during off-and-on peace negotiations. 
 There is an ever-shifting struggle here among three power centers: the Hindu monarchy, which has sustained the country for more than 200 years; the far weaker political parties, born in the 1990's after calls for more democracy; and the Maoists. 
Fearful that Nepal could descend into chaos or became a haven for terrorists, outside powers -- the United States, Britain and India -- are pouring in aid for the government. But the United States, which is providing $17 million to turn the parade-ground royal army into an anti-insurgent force, may find itself backing a tough king whose democratic credentials are in doubt. 
King Gyanendra, a wealthy businessman, took the throne after the palace killings as a constitutional monarch of limited powers. But now he has taken full control, dismissing Parliament, putting off new elections and appointing a royalist prime minister over the objections of the major political parties. 
The parties have broadly discredited themselves with corruption, ineffectiveness and revolving door governments, and they fear that the king will make a deal with the Maoists and move them even further onto the margins of power. 
""What is the king's role?"" Girija Prasad Koirala, leader of the large Nepali Congress Party, asked at a recent party gathering. ""I conclude that these are parts of the design already reached between the king and the Maoists."" 
During the cease-fire, the Maoists became very public, opening an office in the capital, holding rallies and giving speeches. Then, in mid-July, the office was closed and the Maoist leaders dropped out of sight. Later, the Maoists sent a message to government mediators demanding to deal directly with the king. 
""A strange phenomenon in a very strange country,"" a Western diplomat said. 
A Nepalese journalist, Mana Ranjan Josse, said: ""Seeing is not believing here. Everything is not what meets the eye."" 
The Maoist rebellion in the countryside has its roots in complex religious, ethnic and tribal realities, along with deep poverty -- per capita income is $220 a year and even less in remote areas -- and the concentration of the meager resources in a few hands. About 85 percent of the 24 million mostly poor people are Hindu. The top two castes, 29 percent of the population, hold most of the government jobs. 
The Shah family, which founded the Nepalese kingdom in 1768, and the Rana family, which ruled through hereditary prime ministers from 1846 to 1950 with the king as a figurehead, have so intermarried that they have formed an aristocracy that controls much of the wealth. 
""The reasons for discontent are real,"" the Western diplomat said. But he was critical of the guerrillas nonetheless. ""When the Maoists started,"" he said, ""they got a lot of sympathy from intellectuals, but it has dissipated because of their brutality."" 
More than 7,000 people have been killed since the Maoists went into the jungle in 1996, and Amnesty International and other groups have recorded charges of widespread human rights abuses on both sides. The army and security forces have killed and tortured civilians, human rights groups say, while the rebels have executed local officials and teachers, blown up government aid centers and public works projects, and financed themselves with bank robberies and extortions. 
Rebellion flared here in 1990 with the formation of the People's Movement, which demanded multiparty democracy. Demonstrations led to riots and some 300 protesters were killed. Finally, under foreign pressure, the royal family caved in. A new Constitution was written in 1990, intended to establish a symbolic monarchy somewhat along the lines of Britain, and an elected Parliament. 
But the system has been a bitter disappointment. The new king, Gyanendra, was known to have argued in family circles against the Constitution approved by his older brother, King Birendra, who was among those killed in June 2001. King Gyanendra's extensive holdings -- some of which were reported not to have paid taxes -- include tea plantations, hotels and a cigarette factory. 
Last October, the new king dismissed the government in a proclamation assailing its ""incompetence"" and appointed his own prime minister. He cited Article 127 of the Constitution, which outlines the monarch's ""power to remove difficulties."" 
But Devendra Raj Panday, a former minister who helped write the Constitution, says Article 127 does"
"4012",20053304,"Title: Nepal press selection list for 14 November 2005.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: November 14, 2005 Monday
KANTIPUR
Thousands of people in Darchula [far west Nepal] have staged a protest at the district headquarters demanding the government declare a cease-fire and start peace talks with the Maoists. (p 1) [will process]
Arun Chand, the son of former prime minister Lokendra Bahadur Chand, who was abducted by the Maoists says apart from agreeing to pay money owed to sugarcane farmers, he did not reach any other agreement with the Maoists. (p 2) [will process]
RAJDHANI
Differences have merged among standing committee members of the Communist Party of Nepal (Unified Marxist Leninist) over the recent agreement reached between some members of the party and the Maoists. (p 1) [will process]
There has been mixed reaction to the speech by King Gyanendra at the SAARC [South Asian Association for Regional Cooperation] summit. While the seven agitating parties have criticized the speech, leaders from other parties have welcomed it. (p 1) [will process]
Editorial: King Gyanendra brought to the world's attention Nepal's problems during his speech at the SAARC summit in Dhaka. It is believed that it will clear the confusion over Nepal in the international community. (p 4) [will process]
CHARCHA
Differences have emerged between Maoist leaders on whether to continue the cease-fire or break it. Ity is reported that a section of the Maoist leaders are of the view that even after two months, the political parties have not been able to forge a working relationship with the Maoists. (p 1) [will process]
THE HIMALAYAN TIMES
Wearing black bands around their arms, around 200 lawyers on Sunday [13 November] organized a sit-in on the Supreme Court (SC) premises protesting against the apex court's decision on Friday [11 November] to let the government implement the controversial Media Ordinance and the government action against Kantipur FM. (p 1) [see website: thehimalayantimes.com]
THE KATHMANDU POST
A bill passed by the US Senate and House of Representatives recently and which is being signed into law by President George W Bush this week, has attached more and ""stricter"" conditions for the Nepal government and its security forces for providing them military assistance. (p 1) [see website: kantipuronline.com]
At least a dozen CPN-UML activists were injured when police tried to break up their rally in Dailekh headquarters Saturday [12 November]. (p 1) [see website]
Editorial: Apparently, the code of conduct appears a normal government procedure to regulate I/NGOs in Nepal. However, the draconian intention lies unsuccessfully hidden between the lines. There is no doubt that if the I/NGOs fail to defy the code, the NGO movement in Nepal will become history. (p 4) [see website]
THE RISING NEPAL
Planners, foreign affairs experts and business entrepreneurs have said that Nepal could substantially benefit as a transit state between India and China, two fastest growing economies of the world. They, however, noted that this was unlikely to be the case in absence of a long-term strategic plan owned and implemented by the government and the private sector together. (p 1) [see website: gorkhapatra.org.np]
People from different fields have welcomed the Code of Conduct for Non-Governmental Organizations published by the Social Welfare Council (SWC). (p 1) [see website]
At least 45 former members of the Maoist terrorist organization who have stated disagreement with the terrorist activities surrendered before the District Administration Office Parsa [south central Nepal].
Source: Nepal press selection list compiled by BBC Monitoring, in English 14 Nov 05
Load-Date: November 14, 2005
End of Document"
"2821",20044426,"Title: Nepal police hunt for 40 students, 14 teachers abducted by Maoists.rtf; Date: July 19, 2004 Monday; Text: Nepal's security forces were Monday engaged in an intensive search for 40 students and 14 teachers they said had been abducted by Maoist rebels near Kathmandu, police said.
The abductions from two separate schools in Chaimale village Sunday were the first ever in the Kathmandu valley, a police spokesman said.
""It is not known why they were abducted but it seems the rebels want to show they can do it even in the capital under the very nose of the government,"" he said.
""This was the first time that students have been kidnapped from the southern outskirts of the capital city,"" he added.
The students and teachers were abducted from Krishna Secondary School and Panchakanya Primary School, both just four kilometres (2.5 miles) from an army barracks.
The students were studying in grades nine and 10 while the teachers were from both primary and secondary levels.
Police Sunday said rebels had abducted around 25 teenaged schoolboys but early Monday updated the number of those kidnapped when details of the second roundup were received.
The rebels have been fighting for a communist republic in Nepal since 1996 and the uprising has so far claimed more than 9,500 lives.
ss/kms/bp/dk
Nepal-Maoist
Load-Date: July 20, 2004
End of Document"
"6611",20082409,"Title: Blasts continue in Nepal as constituent assembly poll draws nearer - paper.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: March 16, 2008 Sunday
Text of report by Bed Raj Paudel headlined ""Criminal activities continue as election nears in Nepal"" published by Nepalese newspaper Kantipur on 16 March
Biratnagar [east Nepal], 15 March: As the election of the constituent assembly nears, violent activities continue to disrupt the election. 
An unidentified group created terror here by planting socket bombs at BFM office and Mahendra Chowk. A team of the armed police force disposed both the bombs. 
Bombs have been found at different areas of Biratnagar town for the past four days. The regional office of Kantipur Publications was bombed while a child was injured while playing with a bomb found near Siswani and Jahada villages. 
General people have been terrorized and the highway came to a halt for three hours as a stray pressure cooker bomb was found along the roadside on Friday on the Koshi Highway. 
The police said that they had no information about the terror group which planted bombs. Rise of such incidents at the threshold of the constituent assembly election shows that those who do not want the election have become active. 
Twelve-year-old Satrughan Mukhiya was injured on Thursday [13 March] when a stray bomb he was playing with went off at Siswani of Jahada Village Development Committee. He has received injuries on his legs from the bomb shrapnel. He has returned home after treatme4nt at Koshi Zonal Hospital. 
The bomb placed in a plastic bag went off when the child took it for a toy, the police said. Twenty minutes before a bomb went off at the office of Kantipur Publications, an outfit that goes with the name of Nepal Defence Army had distributed pamphlets in the area demanding a Hindu nation. 
Chief district officer Madhav Prasad Regmi said that special security measures will be taken to give security to the voters, candidates and election staff and to control the anti-election activities. 
Meanwhile, an unidentified group exploded a bomb at the office of the Khas Chhetri Unity Society at Ward No 15 of Biratnagar on Saturday. 
Source: Kantipur, Kathmandu, in Nepali 16 Mar 08
Load-Date: March 16, 2008
End of Document"
"7312",2011747,"Title: Speeding bus kills 3 injures 5 in Lamjung.rtf; Date: August 21, 2011 Sunday; Text: BESISAHAR:  Three pedestrians were killed on the spot and five others were injured when a passenger bus knocked them down in Besisahar, Lamjung on Sunday afternoon.
According to District Police Office, the deceased have been identified as Santumaya Shrestha (56) of Gaunsahar VDC, Mana Kumari Gurung (27) of Pachok VDC and three-year old Sunita Gurung of Besisahar.
Deceased Sunita's father Yam Bahadur Gurung (44), mother Sumitra Gurung (27), Devaki Lohani(60), Rajesh Sunuwar(28) and Asmita Gurung(16) were injured in the incident.
The injured are being treated at District Community Hospital at Besisahar.
Police took control of the bus driver following the incident.
Police said that the incident took place due to brake failure.
The bus was on the way to Besisahar from Narayanghat, Chitwan.
Load-Date: August 21, 2011
End of Document"
"2802",2004153,"Title: Nepal press selection list for 5 March 04.rtf; Date: March 5, 2004, Friday; Text: ANNAPURNA POST
 1. Following the Maoist attack on the Bhojpur district headquarters on Tuesday 2 March , all the schools there have closed. The closure called by the District Education Office has affected the ongoing yearly examinations. (p1) Will process
 2. Maoists on Thursday 4 March have released about five dozen students who they abducted in Rukum district in midwestern Nepal on 25 February. The whereabouts of one of the abducted teachers is still unknown. (p1) Will process
Nepal Samacharpatra, Kathmandu, in Nepali 5 Mar 04
3. Two soldiers of the Royal Nepalese Army were killed when the truck they were travelling in came over a Maoist laid landmine in Sarlahi district in central Nepal. (p1) Will process
 4. The cabinet on Thursday 4 March decided to appoint Diwakar Panta to the post of director of the National Human Rights Promotion centre. (p1)
 5. General Secretary of the Communist Party of Nepal (Unified Marxist and Leninist) who returned from a tour of European countries said he gathered support for the movement. (p1) Will process
 6. US Ambassador to Nepal Michael E Malinowski visited the Royal Nepalese Army's Eastern Divisional Headquarters in Itahari. (p1) Will process
 NEPAL SAMACHARPATRA
 1. The Western as published, could be eastern regional bureau in charge Diamond in a statement has said the soldiers captured in Bhojpur battle will be released. He has claimed that 57 security personnel and seven Maoists were killed in the Bhojpur battle. (p1) Will process
 2. It has been revealed that chiefs of the security forces had left Bhojpur after receiving information of a possible attack by Maoists; 32 security personnel were killed in the massive attack on Bhojpur district in eastern Nepal on Tuesday 2 March night. (p1) Will process
 3. Nepal has also figured in a debate on human rights violations by China in the US House of Representatives. According to international news agencies, most members of the House of Representatives said China violated human rights by pressurising Nepal to return 18 Tibetan refugees last year. (p12) Will process
 SPACETIME
 1. Leaders of the Nepali Congress and Nepali Congress (Democratic) which have started fresh initiatives for unification after 20 months of split say there is still a crisis of confidence on both sides. (p1) Will process
 2. After gathering information on the strength of the Maoists in the eastern region, Royal Nepalese Army Eastern Division Headquarters in Itahari has opened additional 31 posts to strengthen the unified command. (p3) Will process
 3. Maoists in Dolakha district in central Nepal through a press statement Wednesday 3 March have banned US aided projects in the district. The statement signed by the head of district people's government Shanka Lama alias Bhimsen has accused the NGOs and INGOs of spying on them. (p1) Will process
 KANTIPUR
 1. Maoists in Kanchanpur district in farwestern Nepal have imposed a ban on the transportation of medicines to the rural areas of the district. (p5) Will process
 THE RISING NEPAL
 1. His Majesty's Government exercising its powers under the Essential Services Act 2014, has prohibited strikes in various essential services. (p1) Will process
 RAJDHANI
 1. Serious dissatisfaction has cropped up in the council of ministers headed by Prime Minister Surya Bahadur Thapa after a reshuffle and distribution of portfolio. This was evident on Thursday 4 March when senior minister Dr Prakash Chandra Lohani and another Minister Buddhi Man Tamang did not attend cabinet meeting without notice. (p1) Will process
 THE KATHMANDU POST
1. Preliminary studies have suggested that property worth Rs 25 million was destroyed in the Bhojpur battle between the Maoists and the security forces Tuesday night, 2 March. (p1) See The Kathmandu Post at  
 THE HIMALAYAN TIMES
1. Reacting to the Nepali Congress's call for unification, a senior leader of the Nepali Congress (Democratic) on Thrusday 4 March said unity was not possible until the Nepali Congress treats Nepali Congress (Democratic) as a separate party. (p1) See The Himalayan Times at  
Load-Date: March 5, 2004
End of Document"
"6346",20071219,"Title: Nepalese woman who became ill on Mount Everest is safe at base camp after high altitude rescue.rtf; Date: May 25, 2007 Friday 3:35 PM GMT; Text: A woman who became seriously ill while in Mount Everest's so-called ""death zone"" and was helped down by fellow climbers has safely reached base camp, Nepalese mountaineering officials said Friday.
Uma Bista of Nepal was ""barely coherent"" and suffering from cerebral edema, or swelling of the brain, when she was found Monday at about 27,225 feet, below the summit, said veteran climber Dave Hahn of Taos, N.M.
In Internet dispatches, Hahn said he and other climbers in his group were descending from the summit of the 29,035-foot mountain when they came across Bista.
He and the others managed to carry Bista in a litter to a lower camp at 23,950 feet and handed her over to a British team, which is on the mountain on a medical research mission.
On Wednesday, aided by five Sherpas, she managed to descend the treacherous Lhotse face, a wall of glacial ice, he said.
""She walked down, she climbed down the Lhotse face. Seems like she's going to recover, and that's pretty impressive. We didn't think she'd make it. I didn't think she'd make it. We're obviously pretty happy for that,"" Hahn said his dispatch posted on greatoutdoors.com.
Krishna Bhandari of the Nepalese Mountaineering Department said Bista was ""at the base camp and safe. We are trying to arrange a helicopter to bring her back to Katmandu.""
Bhandari said officials did not have many details about her experience, and he did not know if she had been abandoned by her fellow climbers before Hahn and his group found her.
The final and most difficult part of Everest the area above 26,000 feet is nicknamed the ""death zone."" Rescues at such altitude are very difficult because of the thin air, high winds, icy slopes and exhaustion.
Climbers afflicted with high altitude cerebral edema a sudden, potentially fatal swelling of the brain display confusion, hallucinations and semiconsciousness and need to descend immediately and receive oxygen and medication.
Dozens of climbers scaled Everest in the last two weeks from the Nepalese side of the mountain. Weather conditions on the mountain had been unfavorable until last week.
The climbing season began in March and ends in late May when the annual monsoon usually brings fresh blizzards that make the climbing route too treacherous.
Since New Zealander Edmund Hillary and Sherpa Tenzing Norgay first conquered Everest on May 29, 1953, around 2,000 climbers have scaled the mountain. Another 205 people have died on its unpredictable slopes.
On the Net:
News about Everest: 
Hahn accounts: 
Load-Date: May 26, 2007
End of Document"
"4783",20065215,"Title: BBC Monitoring News Diary for Sunday 7 May 2006.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: May 7, 2006 Sunday
Main stories at 0100 gmt
IRAQ: Overnight curfew imposed in Basra following Saturday's violent protests after British military helicopter crashed in city (as available)
UN/IRAN: Watching developments after informal meeting of UN Security Council to discuss draft resolution on Iran's nuclear programme ended without agreement late on Saturday; earlier in day Russia and China expressed strong misgivings about resolution (as available)
Asia-Pacific 
FIJI: Elections for new parliament and government in progress (-13); main contenders for post of prime minister include incumbent Laisenia Qarase - an indigenous Fijian - and ethnic Indian opposition leader Mahendra Chaudry (Fiji government website) 
MONGOLIA: South Korean President Roh Moo-hyun visits (-10); meets counterpart Nambaryn Enhbayar; moves on to Azerbaijan (South Korean news agency Yonhap)  
VIETNAM: South Korean delegation, led by Lee Jeong-won, head of defence industry promotion unit, visiting to discuss military procurement cooperation; delegation also expected to visit Thailand, Pakistan (11) to discuss same issue (South Korean news agency Yonhap)  
SINGAPORE: Taipei mayor Ma Ying-jeou visits (-9); meets current Prime Minister Lee Hsien Loong and former Prime Minister Lee Kuan Yew (Taiwanese Central News Agency CNA)  
South Asia 
SOUTH ASIA: Polio immunization campaigns along Afghan-Pakistan border begin (UN website) (UN website)
SRI LANKA: Japanese peace envoy Yasushi Akashi visiting (-10) for talks aimed at ending  violence between government and Liberation Tigers of Tamil Eelam (LTTE) rebels; due to hold separate meetings with President Mahinda Rajapakse, rebel leaders (9) (French news agency AFP) 
INDIA: Sri Lankan Foreign Minister Mangala Samaraweera visits New Delhi to brief Indian officials on state of peace process between Sri Lankan government and Liberation Tigers of Tamil Eelam (LTTE) rebels; talks on defence cooperation also expected (Indian news agency PTI)  
NEPAL: Senior United Nations official Tamrat Samuel visiting to asses political situation in the kingdom following recent protests which forced King Gyanendra to give up absolute rule (regional sources)
NEPAL: CANCELLED Former US President Jimmy Carter was to have visited to try to mediate between conflicting parties, meet King Gyanendra, opposition leaders and Maoists; cancelled due to current ""political turmoil"" (Nepalese newspaper Annapurna Post)  
Former Soviet Union 
GEORGIA: Croatian President Stjepan Mesic visits for talks with counterpart Mikheil Saakashvili, Prime Minister Zurab Noghaideli, parliament Speaker Nino Burjanadze (Georgian TV)
RUSSIA: League for Legalization of Cannabis plans rally in Moscow, permission from authorities has not yet been granted (Russian news agency Ekho Moskvy)  
AZERBAIJAN: International conference: ""The development prospects and state of cooperation to improve human rights protection""; final day (Council of Europe website
Europe 
CROATIA: US Vice-President Dick Cheney attends summit of prime ministers of Albania, Croatia and Macedonia in southern Adriatic town of Dubrovnik; US State Department has said the three signatories of 2003 US-Adriatic Charter could expect invitation to join NATO at its 2008 summit if they succeed in implementing military and political reforms; on Sunday, Cheney told Prime Minister Ivo Sanader he supports Croatia's bid to join EU, NATO (Croatian news agency HINA)  
UNITED KINGDOM: Lebanese Prime Minister Fu'ad al-Sanyurah visits (-9) for talks with British counterpart Tony Blair on withdrawal of Israeli forces from Shab'a Farms; accompanied by Foreign Minister Fawzi Sallukh, Finance Minister Jihad Az'ur, and Economy Minister Sami Haddad (Lebanese National News Agency website)
GREECE: Monitoring developments following Saturday's clashes between police and anti-war protesters during rally at the end of European political convention.in Athens (as available)
SERBIA-MONTENEGRO: Watching developments as police continue search for Bosnian Serb war crimes fugitive Ratko Mladic in several Serbian towns (Serbian TV)
Middle East/North Africa 
IRAQ: Overnight curfew imposed in Basra following Saturday's violent protests after British military helicopter crashed in city (as available)
UN/IRAN: Watching developments after informal meeting of UN Security Council to discuss draft resolution on Iran's nuclear programme ended without agreement late on Saturday; earlier in day Russia and China expressed strong misgivings about resolution (as available)
SUDAN: UN emergency relief coordinator Jan Egeland expected to visit rebel-held town of Gereida in southern Darfur for first international inspection of area since government and main rebel movement signed peace deal on Friday; meanwhile Sudanese government says it still has not decided whether to allow UN peacekeepers into Darfur (Regional sources)  
EGYPT: EU External Relations Commissioner Benita Ferrero-Waldner due to meet President Husni M"
"3689",20053469,"Title: Nepalese minister says resolving Maoist issue will take time.rtf; Date: Supplied by BBC Worldwide Monitoring; Text: November 6, 2005 Sunday
Text of report by Nepalese Kantipur Television on 6 November
[Presenter] Minister for Education Radha Krishna Mainali says the decision of major political parties to take part in the elections only after the Maoist problem was solved will only weaken multiparty democracy. Speaking at a programme organized by the Media Group-Nepal in the capital today, Minister Mainali said the decision to take part in elections only after the Maoist problem was solved was tantamount to the political parties taking the Maoists' line. And he questioned what would happen if the Maoist problem would not be resolved in the next 10 years.
[Minister Radha Krishna Mainali, recording] On the one hand they (political parties) say elections are the basis of democracy, but on the other hand they say they will not take part in the elections while the Maoist problem is not resolved. The Maoists will not easily lay down their arms and nor will they win over the state. I do not see the possibility of the Maoist problem being resolved so easily. We are not confronted with a situation where the Maoists are in a position to take over the state nor is the state in a position to resolve the Maoist problem soon. Stating that elections will only take place after the resolution of the Maoist problems is the view of the Maoists. This is only theoretical, it is not logical. We have to see things from a different perspective. The resolution of the Maoist problem can only be resolved through parliament by holding elections. Parliament is the only place where the Maoist problem can be resolved. 
[Presenter] Minister Mainali said elections would be held even if the major political parties do not participate in the elections. In reference to the media ordinance, Minister Mainali said the ordinance was not brought in to inhibit journalism but to make the media more accountable and disciplined.
Likewise, speaking at the programme leader of the RPP [Rastriya Prajatantra Party] Jog Meher Shrestha argued that the government could not stifle the people's right to information just through an ordinance. And former minister [for Women and Social Welfare] Gore Bahadur Khapange said that in the past 12 years journalism in the country had not been responsible. And he argued that the government was forced to introduce the ordinance. Khapange also accused the media of acting like the pawns of foreigners. He said following the American statement [US concerns over the possibility of the opposition parties setting up an alliance with the Maoists] political parties were rushing to participate in the elections, contrary to their initial stance of boycotting the elections. 
Source: Kantipur Television, Kathmandu, in Nepali 1315 gmt 6 Nov 05
Load-Date: November 6, 2005
End of Document"
"4924",2006588,"Title: Major news items in leading Nepali newspapers(12).rtf; Date: November 11, 2006 Saturday 10:00 PM EST; Text: The following are major news  items in Nepali leading newspapers on Saturday. 
     The Rising Nepal:
    --  Inspection of arms management of Nepali Army and guerrillas starts from Saturday.
     The Kathmandu Post
    --  Bhutanses refugees languishing in camps in eastern Nepal  warned they will be compelled to take up arms and destabilize  north-eastern India if the Indian government continues to ignore  them in their efforts for repatriation.  
Load-Date: November 11, 2006
End of Document"
